SKU|name|description|vintage|unit-size|price|stock|url|min-order|tax|offer-type|delivery-time|LWIN|imageurl
R748990|Selvadolce 'Rucantú' 2021||2021|750ml|76.00|1|https://www.magazzinonyc.com/s/shop?query=Selvadolce%20'Rucant%C3%BA'%202021||Inc.tax|R|Next day||
7806112|Selvadolce 'VB1' 2021||2021|750ml|76.00|2|https://www.magazzinonyc.com/s/shop?query=Selvadolce%20'VB1'%202021||Inc.tax|R|Next day||
Q129468|Rarefratte 'Torre Rossa' 2019||2019|750ml|70.00|4|https://www.magazzinonyc.com/s/shop?query=Rarefratte%20'Torre%20Rossa'%202019||Inc.tax|R|Next day||
296050D|Rarefratte 'Vespaiolo Selezione' 2022||2022|750ml|65.00|2|https://www.magazzinonyc.com/s/shop?query=Rarefratte%20'Vespaiolo%20Selezione'%202022||Inc.tax|R|Next day||
N799660|Manuel Pulcini 'Vizioramingo' 2021||2021|750ml|20.00|1|https://www.magazzinonyc.com/s/shop?query=Manuel%20Pulcini%20'Vizioramingo'%202021||Inc.tax|R|Next day||
E750629|Stefano Zoli 'IGT Bianco' 2024||2024|750ml|22.00|1|https://www.magazzinonyc.com/s/shop?query=Stefano%20Zoli%20'IGT%20Bianco'%202024||Inc.tax|R|Next day||
4999867|Wills Wine 'Blue Plateau' 2023||2023|750ml|38.00|7|https://www.magazzinonyc.com/s/shop?query=Wills%20Wine%20'Blue%20Plateau'%202023||Inc.tax|R|Next day||
7301502|Wills Wine 'Avant Midi' 2023||2023|750ml|40.00|3|https://www.magazzinonyc.com/s/shop?query=Wills%20Wine%20'Avant%20Midi'%202023||Inc.tax|R|Next day||
R638589|Wills Wine 'Fond Cajou' 2023||2023|750ml|43.00|7|https://www.magazzinonyc.com/s/shop?query=Wills%20Wine%20'Fond%20Cajou'%202023||Inc.tax|R|Next day||
C844682|Les Vignes du Fresche 'Radicalement Rouge' 2022 Magnum||2022|1.5L Magnum|55.00|0|https://www.magazzinonyc.com/s/shop?query=Les%20Vignes%20du%20Fresche%20'Radicalement%20Rouge'%202022%20Magnum||Inc.tax|R|Next day||
2313124|Les Vignes du Fresche 'Radicalement Blanc' 2023 Magnum||2023|1.5L Magnum|58.00|0|https://www.magazzinonyc.com/s/shop?query=Les%20Vignes%20du%20Fresche%20'Radicalement%20Blanc'%202023%20Magnum||Inc.tax|R|Next day||
F341704|Menat 'Rubedo' 2021||2021|750ml|20.00|9|https://www.magazzinonyc.com/s/shop?query=Menat%20'Rubedo'%202021||Inc.tax|R|Next day||
901866P|Maurice Schoech 'Sylvaner Kaysersberg' 2022||2022|750ml|22.00|0|https://www.magazzinonyc.com/s/shop?query=Maurice%20Schoech%20'Sylvaner%20Kaysersberg'%202022||Inc.tax|R|Next day||
Q706392|Maurice Schoech 'Riesling Vin d'Alsace' 2023||2023|750ml|26.00|0|https://www.magazzinonyc.com/s/shop?query=Maurice%20Schoech%20'Riesling%20Vin%20d'Alsace'%202023||Inc.tax|R|Next day||
Q507435|Vinmouth 'Vinmouth Blanc'||NV|750ml|60.00|13|https://www.magazzinonyc.com/s/shop?query=Vinmouth%20'Vinmouth%20Blanc'||Inc.tax|R|Next day||
